Date,Check Number,Description,Debit
10/14/2020,0, UBER   EATS                8005,16.44
10/14/2020,2375,CHECK,40
10/14/2020,0, EZPASSVA         TOLLPAYMNT 691,75
10/14/2020,2352,CHECK,82.52
10/14/2020,2373,CHECK,140
10/14/2020,0, VERIZON          VZ BILLPAY 553,261.67
10/14/2020,2319,CHECK,1600
10/13/2020,0, APPLE.COM/BILL             1111,1.29
10/13/2020,0, PRIME VIDEO*MK51B8B80      888-,2.99
10/13/2020,0, ATM CASH WITHDRAWAL FEE  ,3
10/13/2020,0, PRIME VIDEO*MK8CG4HL0      888-,3.99
10/13/2020,0, TS CAFE VENTURES INC V     FAIR,6.14
10/13/2020,0, PRIME VIDEO*MK3JS7842      888-,6.99
10/13/2020,0, PRIME VIDEO*MK9HN2RT1      888-,8.99
10/13/2020,0, TS CAFE VENTURES INC V     FAIR,12.04
10/13/2020,0, UBER   EATS                8005,18.38
10/13/2020,0, LOGMEIN*GOTOMEETING        LOGM,19
10/13/2020,0, UBER   EATS                8005,21.51
10/13/2020,0, 1012 TN81421          000000005,23.5
10/13/2020,2290,CHECK,92.65
10/13/2020,2372,CHECK,150
10/13/2020,0, CUBESMART 595              FAIR,194
10/13/2020,0, ALLY             ALLY PAYMT 227,642.26
10/13/2020,0, CHASE CREDIT CRD EPAY       492,1000
10/13/2020,2376,CHECK,1000
10/7/2020,0, 7-ELEVEN                   LIND,4.79
10/7/2020,0, SUBWAY 30062               SPRI,22.07
10/7/2020,0, LORD AND TAYLOR  ONLINE PMT 000,80
10/7/2020,0, FCWA             PAYMENT    080,150.35
10/7/2020,0, WELLS FARGO CCG  CCGPYMT    681,1000
10/6/2020,0, SQ *GATHERING GROUNDS      FAIR,4.19
10/6/2020,0, TS CAFE VENTURES INC V     FAIR,18.62
10/6/2020,0, MICRO ELE 3089             FAIR,26.47
10/6/2020,0, SAFEWAY 1365               FAIR,30.58
10/6/2020,0, CARSHIELD-PAYLNK 8008397940 346,99
10/6/2020,0, TARGET        00010058     FAIR,180.41
10/6/2020,0, CAPITAL GRILLE 0138041     CHEV,293.83
10/6/2020,2289,CHECK,1100
10/6/2020,0, WELLS FARGO CARD CCPYMT     906,2500
10/5/2020,0, UBER   EATS                8005,17.62
10/5/2020,2208,CHECK,40
10/5/2020,2209,CHECK,150
10/2/2020,0, VAE INC          PAYMENTS      ,0
10/1/2020,0, GOOGLE *GOOGLE STORAGE     MOUN,1.99
10/1/2020,0, VERIZON          VZ BILLPAY 553,261.67
9/30/2020,0, UBER   EATS                8005,0
9/30/2020,0, CHIPOTLE ONLINE            1800,10.92
9/30/2020,2368,CHECK,40
9/30/2020,2371,CHECK,50
9/30/2020,0, GIANT SUPERMARKT PURCHASE   237,193.36
9/29/2020,0, UBER   EATS                8005,0.5
9/29/2020,0, UBER   EATS                8005,14.2
9/29/2020,0, DOMINION ENERGY  BILLPAY    DOM,200
9/28/2020,0, UBER   EATS                8005,0
9/28/2020,0, PRIME VIDEO*M45AE05R0      888-,3.99
9/28/2020,0, PRIME VIDEO*M494Q3Y31      888-,3.99
9/28/2020,0, PRIME VIDEO*M498O9BS0      888-,3.99
9/28/2020,0, PRIME VIDEO*M42OT6SS2      888-,3.99
9/28/2020,0, AMAZON.COM*M495J6HV0       SEAT,8.37
9/28/2020,2356,CHECK,9.1
9/28/2020,0, SPOTIFY USA                NEW ,9.99
9/28/2020,0, DROPBOX*CFY7GLLJWDVM       DB.T,11.99
9/28/2020,0, GIANT SUPERMARKT PURCHASE   236,30.98
9/28/2020,2369,CHECK,150
9/28/2020,2366,CHECK,350
9/25/2020,0, UBER   EATS                8005,1
9/25/2020,0, AMAZON.COM*M472L7DH2       SEAT,21.18
9/25/2020,0, UBER   EATS                8005,21.45
9/25/2020,2120,CHECK,94.5
9/25/2020,0, TRAVELERS        PER INSUR  BPI,108.4
9/25/2020,0, ATT              PAYMENT    655,126
9/24/2020,0, PRIME VIDEO*M43UZ28O2      888-,3.99
9/24/2020,0, PRIME VIDEO*M46CJ7130      888-,3.99
9/24/2020,0, APPLE.COM/BILL             866-,38.98
9/24/2020,2299,CHECK,1025.26
9/23/2020,0, PRIME VIDEO*M457735J2      888-,3.99
9/23/2020,0, UBER   EATS                8005,15.37
9/23/2020,0, HOMESHIELD/HSA   DEBITS     P00,70.99
9/23/2020,2365,CHECK,376
9/22/2020,0, NETFLIX COM                LOS ,8.99
9/22/2020,0, CHIPOTLE ONLINE            1800,21
9/22/2020,0, UPPY S #62 #25             THOR,35.5
9/22/2020,0, NORDSTROM        TRANS      992,60
9/22/2020,2363,CHECK,68
9/22/2020,2364,CHECK,258
9/22/2020,0, VENMO                      8558,300
9/21/2020,0, WENDYS #6536               BURK,4.22
9/21/2020,0, CHIPOTLE ONLINE            1800,9
9/21/2020,0, CHIPOTLE ONLINE            1800,9
9/21/2020,0, UBER   EATS                8005,23.79
9/21/2020,0, GIANT SUPERMARKT PURCHASE   236,58.43
9/21/2020,0, EZPASSVA         TOLLPAYMNT 687,80
9/21/2020,2362,CHECK,350
9/21/2020,0, ALLSTATE INS CO  INS PREM   000,567.75
9/18/2020,0, CHIPOTLE ONLINE            3035,10
9/18/2020,0, VENMO                      8558,50
9/18/2020,2361,CHECK,150
9/18/2020,2317,CHECK,7500
9/17/2020,0, PRIME VIDEO*MU7M84RU0      888-,12.99
9/17/2020,0, UBER   EATS                8005,13.27
9/17/2020,0, LOGMEIN*GOTOMEETING        LOGM,24
9/16/2020,0, HOMESERVE USA    REPAIRPLAN 478,1.99
9/16/2020,0, HOMESERVE USA    REPAIRPLAN 478,1.99
9/16/2020,0, HOMESERVE USA    REPAIRPLAN 478,4.99
9/16/2020,0, HOMESERVE USA    REPAIRPLAN 478,5.99
9/16/2020,0, HOMESERVE USA    REPAIRPLAN 478,6.99
9/16/2020,0, CHIPOTLE ONLINE            3035,9
9/16/2020,0, HOMESERVE USA    REPAIRPLAN 478,9.99
9/16/2020,0, CAPITAL ONE      CRCARDPMT  025,35
9/16/2020,2359,CHECK,51.97
9/15/2020,0, CHIPOTLE ONLINE            3035,8.16
9/14/2020,0, MARCOS PIZZA - 2075        RICH,4.36
9/14/2020,0, CHIPOTLE ONLINE            3035,9.33
9/14/2020,0, APPLE.COM/BILL             866-,19.96
9/14/2020,0, APPLE.COM/BILL             866-,29.99
9/14/2020,2355,CHECK,40
9/14/2020,0, VENMO                      8558,50
9/14/2020,0, SYNCHRONY BANK   CC PYMT    650,106
9/14/2020,0, CUBESMART 595              FAIR,194
9/14/2020,2358,CHECK,200
9/14/2020,0, DOMINION ENERGY  BILLPAY    DOM,264.72
9/14/2020,0, WELLS FARGO CARD CCPYMT     906,3000
9/11/2020,0, LOGMEIN*GOTOMEETING        LOGM,19
9/11/2020,0, SUBWAY 30062               SPRI,19.94
9/11/2020,0, ALLY             ALLY PAYMT 227,642.26
9/10/2020,0, SHELL OIL 57543575500      BETH,9.97
9/10/2020,0, GIANT SUPERMARKT PURCHASE   235,184.55
9/10/2020,2348,CHECK,200
9/9/2020,0, NOODLES   CO 4             FAIR,22
9/9/2020,0, SHELL SERVICE              BETH,57.82
9/9/2020,0, SHELL SERVICE              BETH,100
9/9/2020,0, ATT              PAYMENT    116,200.32
9/9/2020,0, WELLS FARGO CCG  CCGPYMT    681,360.66
9/8/2020,0, OVR*O.CO/OVERSTOCK.COM     800-,0
9/8/2020,0, DUNKIN #308047 Q35         FAIR,2.96
9/8/2020,0, PRIME VIDEO*MU0DN6DW1      888-,3.99
9/8/2020,0, SQ *GATHERING GROUNDS      FAIR,4.19
9/8/2020,0, WALGREENS 3614             ALEX,13.75
9/8/2020,0, OVR*O.CO/OVERSTOCK.COM     800-,39.85
9/8/2020,2349,CHECK,40
9/8/2020,0, OVR*O.CO/OVERSTOCK.COM     800-,49.81
9/8/2020,0, LORD AND TAYLOR  ONLINE PMT 000,84
9/8/2020,0, CARSHIELD-PAYLNK 8008397940 342,99
9/8/2020,0, TARGET T1416     PURCHASE   234,102.3
9/8/2020,0, GIANT 2741 106             FAIR,122.61
9/8/2020,2350,CHECK,200
9/8/2020,2353,CHECK,299
9/4/2020,0, SQ *GATHERING GROUNDS      FAIR,4.19
9/4/2020,0, CHIPOTLE 0879              BURK,21.52
9/4/2020,0, SUBWAY 30062               SPRI,25.18
9/4/2020,0, COLONIAL PARKING #287      ALEX,26
9/4/2020,0, AMAZON.COM*MU06180U2       SEAT,26.36
9/4/2020,0, CORRIGAN SPORTS LACROS     410-,62.1
9/3/2020,0, DUNKIN #308047 Q35         FAIR,7.35
9/3/2020,0, PRIME VIDEO*MU3YK7BK1      888-,7.99
9/3/2020,0, GIANT 2741 106             FAIR,19.4
9/3/2020,0, EDIBLE ARRANGEMENTS        8773,65.26
9/3/2020,0, REPUBLICSERVICES RSIBILLPAY 308,201.43
9/3/2020,2342,CHECK,1300
9/2/2020,0, VAE INC          PAYMENTS      ,0
9/2/2020,0, PRIME VIDEO*MU3SG1MH1      888-,3.99
9/2/2020,0, SQ *GATHERING GROUNDS      FAIR,4.19
9/2/2020,0, APPLE.COM/BILL             866-,4.99
9/2/2020,0, APPLE.COM/BILL             866-,4.99
9/2/2020,0, DUNKIN #308047 Q35         FAIR,7.35
9/2/2020,0, WALGREENS 3614             ALEX,10.19
9/2/2020,2121,CHECK,40
9/2/2020,2311,CHECK,115
9/2/2020,2345,CHECK,150
9/2/2020,2343,CHECK,200
9/1/2020,0, GOOGLE *GOOGLE STORAGE     MOUN,1.99
9/1/2020,0, PRIME VIDEO*MU5Y50G41      888-,3.99
9/1/2020,0, SQ *GATHERING GROUNDS      FAIR,4.19
9/1/2020,0, DUNKIN #308047 Q35         FAIR,4.28
9/1/2020,0, NOODLES   CO 4             FAIR,30.64
9/1/2020,0, GIANT OF CARLISL PURCHASE   231,167.17
9/1/2020,0, NATIONWIDE CREDI ACH        714,436.21
9/1/2020,0, COUNTY OF FFX    RE-ECHGOV  RE4,3396.71
8/31/2020,0, SQ *GATHERING GROUNDS      FAIR,4.19
8/31/2020,0, DUNKIN #308047 Q35         FAIR,5.61
8/31/2020,0, VENMO                      8558,60
8/31/2020,0, ATT              PAYMENT    580,255
8/31/2020,0, WELLS FARGO CARD CCPYMT     906,300
8/31/2020,0, CHASE CREDIT CRD EPAY       485,406
8/31/2020,0, BURKE CENTER               BURK,500
8/31/2020,2309,CHECK,1000
8/28/2020,0, TS CAFE VENTURES INC V     FAIR,11.51
8/28/2020,0, DOMINION ENERGY  BILLPAY    DOM,188.26
8/27/2020,0, DROPBOX*VYY9NQXGH1NF       DB.T,11.99
8/27/2020,0, VENMO                      8558,75
8/26/2020,0, PRIME VIDEO*MM26N52X2      888-,3.99
8/26/2020,0, SPOTIFY USA                NEW ,9.99
8/26/2020,0, AMAZON.COM*MU13M4OD1       SEAT,11.22
8/26/2020,0, CHICK-FIL-A #03374         BURK,11.38
8/26/2020,0, SYNCHRONY BANK   CC PYMT    650,105
8/26/2020,2308,CHECK,150
8/26/2020,0, SAFEWAY 1365               FAIR,201.28
8/25/2020,2122,CHECK,40
8/25/2020,0, J5R LLC                   ALEX,41.69
8/25/2020,0, TRAVELERS        PER INSUR  BPI,94
8/24/2020,0, PRIME VIDEO*MM0HU7M52      888-,3.99
8/24/2020,0, NETFLIX.COM                NETF,8.99
8/24/2020,0, CHIPOTLE ONLINE            3035,12.24
8/24/2020,0, CHIPOTLE ONLINE            3035,16.03
8/24/2020,0, NORDSTROM        TRANS      993,60
8/24/2020,0, VENMO                      8558,75
8/21/2020,0, TS CAFE VENTURES INC V     FAIR,19.14
8/21/2020,0, POPEYES 12344              FAIR,23.69
8/21/2020,0, UNITED   01615785278914    800-,35
8/21/2020,2307,CHECK,40
8/21/2020,0, SPIRIT A 48702442191240    MIRA,50.18
8/21/2020,0, RAMPARTS TAVERN            ALEX,58.24
8/21/2020,0, VENMO                      8558,90
8/21/2020,2313,CHECK,100
8/21/2020,0, OVR*O.CO/OVERSTOCK.COM     800-,182.45
8/21/2020,0, VERIZON          VZ BILLPAY 553,256.35
8/20/2020,0, PRIME VIDEO*MM1C490P2      888-,3.99
8/20/2020,0, THE SWISS BAKERY - RAV     SPRI,8.48
8/20/2020,0, JERSEY MIKES 6060          SPRI,23.3
8/20/2020,0, SUNOCO 0012695300          ALEX,23.67
8/20/2020,0, HOMESHIELD/HSA   DEBITS     P00,70.99
8/20/2020,0, GIANT 2741 106             FAIR,124.44
8/20/2020,0, GUAPO S ARLINGTON          ARLI,133.06
8/20/2020,0, UNITED   01623198210266    800-,138.1
8/20/2020,0, UNITED   01623198210255    800-,138.1
8/20/2020,0, DOMINION ENERGY  BILLPAY    DOM,200
8/20/2020,2341,CHECK,1000
8/19/2020,0, CHICK-FIL-A  #01758        HEND,4.15
8/19/2020,0, SUBWAY 30062               SPRI,21.43
8/19/2020,0, CHICK-FIL-A  #01758        HEND,25.32
8/19/2020,0, RAMPARTS TAVERN            ALEX,37.64
8/19/2020,2296,CHECK,100
8/19/2020,0, ALLSTATE INS CO  INS PREM   000,567.73
8/18/2020,0, CHARLESTON GOLF CARTS      8007,0
8/18/2020,0, HOMESERVE USA    REPAIRPLAN 988,1.99
8/18/2020,0, HOMESERVE USA    REPAIRPLAN 988,1.99
8/18/2020,0, HOMESERVE USA    REPAIRPLAN 988,4.99
8/18/2020,0, HOMESERVE USA    REPAIRPLAN 988,5.99
8/18/2020,0, PANERA BREAD #606040 P     ASHL,6.78
8/18/2020,0, HOMESERVE USA    REPAIRPLAN 988,6.99
8/18/2020,0, WALGREENS 3614             ALEX,7.02
8/18/2020,0, HOMESERVE USA    REPAIRPLAN 988,9.99
8/18/2020,0, DUNKIN #347369             RALE,10.12
8/18/2020,0, SHELL SERVICE              SPRI,20.06
8/18/2020,0, HAIR CUTT 6707             MCLE,24
8/18/2020,0, KING STREET GRILLE - F     JOHN,102.43
8/18/2020,0, HYATT HOUSE RDU            RALE,125.11
8/18/2020,0, RESIDENCE INN-ANDELL I     KIAW,2307.11
8/17/2020,0, WALGREENS 201              HEND,3.06
8/17/2020,0, DUNKIN #346712 Q35         CHAR,6.96
8/17/2020,0, DUNKIN #346712 Q35         CHAR,6.96
8/17/2020,0, CHICK-FIL-A #01954         CHAR,7.19
8/17/2020,0, KINFOLK                    JOHN,10
8/17/2020,0, THE STATION                SEAB,12.36
8/17/2020,0, VENMO                      8558,15
8/17/2020,0, LOGMEIN*GOTOMEETING        LOGM,24
8/17/2020,0, KING STREET GRILLE - F     JOHN,33.19
8/17/2020,0, APPLE.COM/BILL             866-,34.99
8/17/2020,0, SHELL SERVICE              ASHL,35
8/17/2020,0, CAPITAL ONE      CRCARDPMT  022,35
8/17/2020,0, THE STATION                SEAB,38.47
8/17/2020,0, BLACK MAGIC CAFE - JAM     CHAR,45.93
8/17/2020,0, SP * ISLANDS MERCANTIL     JOHN,48.34
8/17/2020,0, PP*NEXT LEVEL LACROSSE     BETH,70
8/17/2020,2295,CHECK,200
8/17/2020,0, THE FAT HEN                JOHN,208.15
8/17/2020,0, J MCLAUGHLIN #048          JOHN,248.52
8/14/2020,0, CAROLINA ONE VACATION      8003,0
8/14/2020,0, BP#8333213SCOTCHMAN 31     CHAR,3.46
8/14/2020,0, DUNKIN #346712 Q35         CHAR,6.96
8/14/2020,0, BP#8333213SCOTCHMAN 31     CHAR,34.75
8/14/2020,0, HARRIS TE 515              JOHN,91.53
8/14/2020,0, LOGGERHEADS BEACH GRIL     FOLL,142.13
8/14/2020,0, VENMO                      8558,160
8/14/2020,2204,CHECK,5497
8/13/2020,0, DUNKIN #346712 Q35         CHAR,2.99
8/13/2020,0, SQ *BAKEHOUSE CHARLEST     CHAR,6.5
8/13/2020,0, SQ *CITY LIGHTS COFFEE     CHAR,11.83
8/13/2020,0, SQ *IAMES VENTURES LLC     FOLL,16.34
8/13/2020,0, CHARLESTON GOLF CARTS      8007,122.08
8/13/2020,0, TAVERN   TABLE             MOUN,126.55
8/13/2020,0, CAROLINA ONE VACATION      8003,1150.29
8/12/2020,0, COCA COLA CHARLESTON S     CHAR,2
8/12/2020,0, COCA COLA CHARLESTON S     CHAR,2
8/12/2020,0, PRIME VIDEO*MM90J34D1      888-,3.99
8/12/2020,0, PATRIOTS POINT TCKT        MOUN,5
8/12/2020,0, DUNKIN #346712 Q35         CHAR,6.96
8/12/2020,0, CHICK-FIL-A #01954         CHAR,13.58
8/12/2020,0, PATRIOTS POINT-GIFT        MT P,16.34
8/12/2020,0, SUNOCO 0219784600          CHAR,32.63
8/12/2020,0, BEACHSIDE SNACKS LLC       FOLL,38.62
8/12/2020,0, SQ *SLICE                  FOLL,41.07
8/12/2020,0, PATRIOTS POINT-GIFT        MT P,65.2
8/12/2020,0, EZPASSVA         TOLLPAYMNT 681,80
8/12/2020,0, SUN   SKI BEACH SERVIC     FOLL,119
8/12/2020,0, PATRIOTS POINT TCKT SA     MOUN,144
8/12/2020,0, ATT              PAYMENT    709,150
8/12/2020,0, CUBESMART 595              FAIR,194
8/12/2020,2306,CHECK,250
8/12/2020,0, WELLS FARGO CCG  CCGPYMT    681,361.56
8/12/2020,0, ALLY             ALLY PAYMT 227,642.26
8/11/2020,0, PRIME VIDEO*MM8ML7OW1      888-,3.99
8/11/2020,0, PRIME VIDEO*MF1O68QZ2      888-,3.99
8/11/2020,0, PRIME VIDEO*MM5LS9OP1      888-,3.99
8/11/2020,0, PATRIOTS POINT-GIFT        MT P,5.2
8/11/2020,0, DUNKIN #346712 Q35         CHAR,9.27
8/11/2020,0, LOGMEIN*GOTOMEETING        LOGM,19
8/11/2020,0, CHARLESTON PRC MCLEOD      CHAR,27
8/11/2020,2302,CHECK,100
8/11/2020,0, NEXTPRO.COM                3105,249
8/10/2020,0, BURGER KING #9220  Q07     GARY,5.53
8/10/2020,0, DUNKIN #346712 Q35         CHAR,6.96
8/10/2020,0, DUNKIN #346712 Q35         CHAR,12.24
8/10/2020,0, DUNKIN #346712 Q35         CHAR,14.26
8/10/2020,0, CHICK-FIL-A #02945         ASHL,21.51
8/10/2020,0, RITAS SEASIDE GRILLE       FOLL,30.24
8/10/2020,2305,CHECK,40
8/10/2020,2297,CHECK,200
8/10/2020,0, CHARLESTON GOLF CARTS      8007,245.25
8/10/2020,0, TST* WATER S EDGE REST     MOUN,267.01
8/10/2020,2298,CHECK,300
8/7/2020,0, SQ *GATHERING GROUNDS      FAIR,4.19
8/7/2020,0, HARRIS TE 1985             CHAR,5.45
8/7/2020,0, SHELL SERVICE              HARL,32.09
8/7/2020,2292,CHECK,48.22
8/7/2020,0, LORD AND TAYLOR  ONLINE PMT 000,85
8/7/2020,0, BLU                        FOLL,159.14
8/7/2020,0, HARRIS TE 1985             CHAR,192.17
8/7/2020,0, WELLS FARGO CCG  CCGPYMT    681,400
8/7/2020,2303,CHECK,500
8/6/2020,0, SHELL SERVICE              FLOR,1.1
8/6/2020,0, SQ *GATHERING GROUNDS      FAIR,4.19
8/6/2020,0, DUNKIN #308047 Q35         FAIR,5.81
8/6/2020,0, SHELL SERVICE              ASHL,43.84
8/5/2020,0, FEDEX OFFIC18000018093     FAIR,0.51
8/5/2020,0, FEDEX OFFIC18000018093     FAIR,1.55
8/5/2020,0, PRIME VIDEO*MF2FP63S2      888-,1.99
8/5/2020,0, DUNKIN #308047 Q35         FAIR,2.85
8/5/2020,0, SQ *GATHERING GROUNDS      FAIR,4.19
8/5/2020,0, DUNKIN #308047 Q35         FAIR,9.3
8/5/2020,0, CHICK-FIL-A #03458         GAMB,13.09
8/5/2020,0, TS CAFE VENTURES INC V     FAIR,13.61
8/5/2020,0, STAPLES 0104               FAIR,20.42
8/5/2020,0, NOODLES   CO 4             FAIR,31.3
8/5/2020,0, GIANT 2741 106             FAIR,32.92
8/5/2020,0, GIANT 2741 106             FAIR,35.78
8/5/2020,2293,CHECK,40
8/5/2020,0, CARSHIELD-PAYLNK 8008397940 338,99
8/5/2020,0, NEXTPRO.COM                3105,149
8/5/2020,2304,CHECK,150
8/5/2020,0, MICRO ELE 3089             FAIR,1091.74
8/4/2020,0, CORRIGAN SPORTS LACROS     410-,0
8/4/2020,0, GIANT 2741 106             FAIR,9.13
8/4/2020,0, BARNESNOBLE                FAIR,34.97
8/4/2020,0, SUNOCO 0949606800  QPS     FAIR,38.34
8/4/2020,0, WAL-MART STORE             BURK,43.47
8/4/2020,2294,CHECK,45
8/4/2020,2301,CHECK,500
8/3/2020,0, GOOGLE *GOOGLE STORAGE     MOUN,1.99
8/3/2020,0, PRIME VIDEO*MV93L6WE2      888-,1.99
8/3/2020,0, PRIME VIDEO*MF9YN2OG0      888-,2.99
8/3/2020,0, DUNKIN #342113 Q35         MILF,4.17
8/3/2020,0, SQ *GATHERING GROUNDS      FAIR,4.19
8/3/2020,0, SQ *GATHERING GROUNDS      FAIR,4.19
8/3/2020,0, DUNKIN #308047 Q35         FAIR,7.6
8/3/2020,0, DUNKIN #308047 Q35         FAIR,7.6
8/3/2020,0, SHELL SERVICE              SPRI,8.01
8/3/2020,0, CHICK-FIL-A #03290         MILF,8.44
8/3/2020,0, HIGHS 92                   GAMB,11.06
8/3/2020,0, SHOPRITE FESTIVAL S1       BEL ,11.86
8/3/2020,0, CHIPOTLE 0608              BEL ,12.51
8/3/2020,0, SAFEWAY 1365               FAIR,13.67
8/3/2020,0, SUNOCO 0949606800          FAIR,16.04
8/3/2020,0, CHIPOTLE 0608              BEL ,16.22
8/3/2020,0, CHIPOTLE ONLINE            3035,17.77
8/3/2020,0, PANERA BREAD #203575 P     BEL ,18.49
8/3/2020,0, PRIME VIDEO*MF85D1OK2      888-,18.99
8/3/2020,0, PRIME VIDEO*MF49T60Y1      888-,18.99
8/3/2020,0, PANERA BREAD #203575 P     BEL ,23.05
8/3/2020,0, CHARTER COMMUNIC CHARTER CO 008,30.64
8/3/2020,0, SUNOCO 0949606800          FAIR,32.01
8/3/2020,0, SHELL SERVICE              SPRI,46.92
8/3/2020,0, OUTBACK 4714               FAIR,64.55
8/3/2020,0, FIRST SCOUT                8775,99
8/3/2020,0, GIANT 2741 106             FAIR,127.61
8/3/2020,2300,CHECK,200
